,symboling,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
46,2,0,1,1,1,0,2,1,96.0,172.6,65.2,51.4,2734,4,5,119,0,3.43,3.23,9.2,90,5000,24,29,11048
47,0,1,1,1,0,3,2,1,113.0,199.6,69.6,52.8,4066,0,4,258,6,3.63,4.17,8.1,176,4750,15,19,32250
48,0,1,1,1,0,3,2,1,113.0,199.6,69.6,52.8,4066,0,4,258,6,3.63,4.17,8.1,176,4750,15,19,35550
49,0,1,1,1,1,3,2,1,102.0,191.7,70.6,47.8,3950,2,3,326,6,3.54,2.76,11.5,262,5000,13,17,36000
50,1,2,1,1,1,0,0,1,93.1,159.1,64.2,54.1,1890,4,5,91,3,3.03,3.15,9.0,68,5000,30,31,5195
51,1,2,1,1,1,0,0,1,93.1,159.1,64.2,54.1,1900,4,5,91,3,3.03,3.15,9.0,68,5000,31,38,6095
52,1,2,1,1,1,0,0,1,93.1,159.1,64.2,54.1,1905,4,5,91,3,3.03,3.15,9.0,68,5000,31,38,6795
53,1,2,1,1,0,3,0,1,93.1,166.8,64.2,54.1,1945,4,5,91,3,3.03,3.15,9.0,68,5000,31,38,6695
54,1,2,1,1,0,3,0,1,93.1,166.8,64.2,54.1,1950,4,5,91,3,3.08,3.15,9.0,68,5000,31,38,7395
59,1,2,1,1,1,0,0,1,98.8,177.8,66.5,53.7,2385,4,5,122,3,3.39,3.39,8.6,84,4800,26,32,8845
60,0,2,1,1,0,3,0,1,98.8,177.8,66.5,55.5,2410,4,5,122,3,3.39,3.39,8.6,84,4800,26,32,8495
61,1,2,1,1,1,0,0,1,98.8,177.8,66.5,53.7,2385,4,5,122,3,3.39,3.39,8.6,84,4800,26,32,10595
62,0,2,1,1,0,3,0,1,98.8,177.8,66.5,55.5,2410,4,5,122,3,3.39,3.39,8.6,84,4800,26,32,10245
64,0,2,1,1,0,0,0,1,98.8,177.8,66.5,55.5,2425,4,5,122,3,3.39,3.39,8.6,84,4800,26,32,11245
65,0,2,1,1,0,3,2,1,104.9,175.0,66.1,54.4,2670,4,5,140,6,3.76,3.16,8.0,120,5000,19,27,18280
66,0,2,0,1,0,3,2,1,104.9,175.0,66.1,54.4,2700,4,5,134,2,3.43,3.64,22.0,72,4200,31,39,18344
67,-1,17,0,0,0,3,2,1,110.0,190.9,70.3,56.5,3515,4,0,183,2,3.58,3.64,21.5,123,4350,22,25,25552
68,-1,17,0,0,0,4,2,1,110.0,190.9,70.3,58.7,3750,4,0,183,2,3.58,3.64,21.5,123,4350,22,25,28248
69,0,17,0,0,1,2,2,1,106.7,187.5,70.3,54.9,3495,4,0,183,2,3.58,3.64,21.5,123,4350,22,25,28176
70,-1,17,0,0,0,3,2,1,115.6,202.6,71.7,56.3,3770,4,0,183,2,3.58,3.64,21.5,123,4350,22,25,31600
71,-1,17,1,1,0,3,2,1,115.6,202.6,71.7,56.5,3740,2,2,234,6,3.46,3.1,8.3,155,4750,16,18,34184
72,3,17,1,1,1,1,2,1,96.6,180.3,70.5,50.8,3685,2,2,234,6,3.46,3.1,8.3,155,4750,16,18,35056
73,0,17,1,1,0,3,2,1,120.9,208.1,71.7,56.7,3900,2,2,308,6,3.8,3.35,8.0,184,4500,14,16,40960
74,1,17,1,1,1,2,2,1,112.0,199.2,72.0,55.4,3715,2,2,304,6,3.8,3.35,8.0,184,4500,14,16,45400
75,1,4,1,0,1,0,2,1,102.7,178.4,68.0,54.8,2910,4,5,140,6,3.78,3.12,8.0,175,5000,19,24,16503
76,2,12,1,1,1,0,0,1,93.7,157.3,64.4,50.8,1918,4,5,92,3,2.97,3.23,9.4,68,5500,37,41,5389
77,2,12,1,1,1,0,0,1,93.7,157.3,64.4,50.8,1944,4,5,92,3,2.97,3.23,9.4,68,5500,31,38,6189
78,2,12,1,1,1,0,0,1,93.7,157.3,64.4,50.8,2004,4,5,92,3,2.97,3.23,9.4,68,5500,31,38,6669
79,1,12,1,0,1,0,0,1,93.0,157.3,63.8,50.8,2145,4,5,98,4,3.03,3.39,7.6,102,5500,24,30,7689
80,3,12,1,0,1,0,0,1,96.3,173.0,65.4,49.4,2370,4,5,110,4,3.17,3.46,7.5,116,5500,23,30,9959
81,3,12,1,1,1,0,0,1,96.3,173.0,65.4,49.4,2328,4,5,122,3,3.35,3.46,8.5,88,5000,25,32,8499
82,3,12,1,0,1,0,0,1,95.9,173.2,66.3,50.2,2833,4,5,156,4,3.58,3.86,7.0,145,5000,19,24,12629
83,3,12,1,0,1,0,0,1,95.9,173.2,66.3,50.2,2921,4,5,156,4,3.59,3.86,7.0,145,5000,19,24,14869
84,3,12,1,0,1,0,0,1,95.9,173.2,66.3,50.2,2926,4,5,156,4,3.59,3.86,7.0,145,5000,19,24,14489
85,1,12,1,1,0,3,0,1,96.3,172.4,65.4,51.6,2365,4,5,122,3,3.35,3.46,8.5,88,5000,25,32,6989
86,1,12,1,1,0,3,0,1,96.3,172.4,65.4,51.6,2405,4,5,122,3,3.35,3.46,8.5,88,5000,25,32,8189
87,1,12,1,0,0,3,0,1,96.3,172.4,65.4,51.6,2403,4,5,110,4,3.17,3.46,7.5,116,5500,23,30,9279
88,-1,12,1,1,0,3,0,1,96.3,172.4,65.4,51.6,2403,4,5,110,4,3.17,3.46,7.5,116,5500,23,30,9279
89,1,10,1,1,1,3,0,1,94.5,165.3,63.8,54.5,1889,4,5,97,3,3.15,3.29,9.4,69,5200,31,37,5499
90,1,10,0,1,1,3,0,1,94.5,165.3,63.8,54.5,2017,4,5,103,2,2.99,3.47,21.9,55,4800,45,50,7099
91,1,10,1,1,1,3,0,1,94.5,165.3,63.8,54.5,1918,4,5,97,3,3.15,3.29,9.4,69,5200,31,37,6649
92,1,10,1,1,0,3,0,1,94.5,165.3,63.8,54.5,1938,4,5,97,3,3.15,3.29,9.4,69,5200,31,37,6849
93,1,10,1,1,0,4,0,1,94.5,170.2,63.8,53.5,2024,4,5,97,3,3.15,3.29,9.4,69,5200,31,37,7349
94,1,10,1,1,1,3,0,1,94.5,165.3,63.8,54.5,1951,4,5,97,3,3.15,3.29,9.4,69,5200,31,37,7299
95,1,10,1,1,1,0,0,1,94.5,165.6,63.8,53.3,2028,4,5,97,3,3.15,3.29,9.4,69,5200,31,37,7799
96,1,10,1,1,0,3,0,1,94.5,165.3,63.8,54.5,1971,4,5,97,3,3.15,3.29,9.4,69,5200,31,37,7499
97,1,10,1,1,0,4,0,1,94.5,170.2,63.8,53.5,2037,4,5,97,3,3.15,3.29,9.4,69,5200,31,37,7999
98,2,10,1,1,1,2,0,1,95.1,162.4,63.8,53.3,2008,4,5,97,3,3.15,3.29,9.4,69,5200,31,37,8249
99,0,10,1,1,0,0,0,1,97.2,173.4,65.2,54.7,2324,4,5,120,3,3.33,3.47,8.5,97,5200,27,34,8949
100,0,10,1,1,0,3,0,1,97.2,173.4,65.2,54.7,2302,4,5,120,3,3.33,3.47,8.5,97,5200,27,34,9549
101,0,10,1,1,0,3,0,1,100.4,181.7,66.5,55.1,3095,2,4,181,6,3.43,3.27,9.0,152,5200,17,22,13499
102,0,10,1,1,0,4,0,1,100.4,184.6,66.5,56.1,3296,2,4,181,6,3.43,3.27,9.0,152,5200,17,22,14399
103,0,10,1,1,0,3,0,1,100.4,184.6,66.5,55.1,3060,2,4,181,6,3.43,3.27,9.0,152,5200,19,25,13499
104,3,10,1,1,1,0,2,1,91.3,170.7,67.9,49.7,3071,2,4,181,6,3.43,3.27,9.0,160,5200,19,25,17199
105,3,10,1,0,1,0,2,1,91.3,170.7,67.9,49.7,3139,2,4,181,6,3.43,3.27,7.8,200,5200,17,23,19699
106,1,10,1,1,1,0,2,1,99.2,178.5,67.9,49.7,3139,2,4,181,6,3.43,3.27,9.0,160,5200,19,25,18399
107,0,11,1,1,0,3,2,1,107.9,186.7,68.4,56.7,3020,3,5,120,6,3.46,3.19,8.4,97,5000,19,24,11900
108,0,11,0,0,0,3,2,1,107.9,186.7,68.4,56.7,3197,3,5,152,2,3.7,3.52,21.0,95,4150,28,33,13200
109,0,11,1,1,0,4,2,1,114.2,198.9,68.4,58.7,3230,3,5,120,6,3.46,3.19,8.4,97,5000,19,24,12440
110,0,11,0,0,0,4,2,1,114.2,198.9,68.4,58.7,3430,3,5,152,2,3.7,3.52,21.0,95,4150,25,25,13860
111,0,11,1,1,0,3,2,1,107.9,186.7,68.4,56.7,3075,3,5,120,6,3.46,2.19,8.4,95,5000,19,24,15580
112,0,11,0,0,0,3,2,1,107.9,186.7,68.4,56.7,3252,3,5,152,2,3.7,3.52,21.0,95,4150,28,33,16900
113,0,11,1,1,0,4,2,1,114.2,198.9,68.4,56.7,3285,3,5,120,6,3.46,2.19,8.4,95,5000,19,24,16695
114,0,11,0,0,0,4,2,1,114.2,198.9,68.4,58.7,3485,3,5,152,2,3.7,3.52,21.0,95,4150,25,25,17075
115,0,11,1,1,0,3,2,1,107.9,186.7,68.4,56.7,3075,3,5,120,6,3.46,3.19,8.4,97,5000,19,24,16630
116,0,11,0,0,0,3,2,1,107.9,186.7,68.4,56.7,3252,3,5,152,2,3.7,3.52,21.0,95,4150,28,33,17950
117,0,11,1,0,0,3,2,1,108.0,186.7,68.3,56.0,3130,3,5,134,6,3.61,3.21,7.0,142,5600,18,24,18150
118,1,5,1,1,1,0,0,1,93.7,157.3,63.8,50.8,1918,4,5,90,3,2.97,3.23,9.4,68,5500,37,41,5572
119,1,5,1,0,1,0,0,1,93.7,157.3,63.8,50.8,2128,4,5,98,4,3.03,3.39,7.6,102,5500,24,30,7957
120,1,5,1,1,0,0,0,1,93.7,157.3,63.8,50.6,1967,4,5,90,3,2.97,3.23,9.4,68,5500,31,38,6229
121,1,5,1,1,0,3,0,1,93.7,167.3,63.8,50.8,1989,4,5,90,3,2.97,3.23,9.4,68,5500,31,38,6692
122,1,5,1,1,0,3,0,1,93.7,167.3,63.8,50.8,2191,4,5,98,3,2.97,3.23,9.4,68,5500,31,38,7609
123,-1,5,1,1,0,4,0,1,103.3,174.6,64.6,59.8,2535,4,5,122,3,3.35,3.46,8.5,88,5000,24,30,8921
124,3,5,1,0,1,0,2,1,95.9,173.2,66.3,50.2,2818,4,5,156,4,3.59,3.86,7.0,145,5000,19,24,12764
125,3,18,1,1,1,0,2,1,94.5,168.9,68.3,50.2,2778,4,5,151,6,3.94,3.11,9.5,143,5500,19,27,22018
126,3,18,1,1,1,2,2,0,89.5,168.9,65.0,51.6,2756,1,4,194,6,3.74,2.9,9.5,207,5900,17,25,32528
127,3,18,1,1,1,2,2,0,89.5,168.9,65.0,51.6,2756,1,4,194,6,3.74,2.9,9.5,207,5900,17,25,34028
128,3,18,1,1,1,1,2,0,89.5,168.9,65.0,51.6,2800,1,4,194,6,3.74,2.9,9.5,207,5900,17,25,37028
132,3,15,1,1,1,0,0,1,99.1,186.6,66.5,56.1,2658,4,5,121,6,3.54,3.07,9.31,110,5250,21,28,11850
133,2,15,1,1,0,3,0,1,99.1,186.6,66.5,56.1,2695,4,5,121,6,3.54,3.07,9.3,110,5250,21,28,12170
134,3,15,1,1,1,0,0,1,99.1,186.6,66.5,56.1,2707,4,5,121,6,2.54,2.07,9.3,110,5250,21,28,15040
135,2,15,1,1,0,3,0,1,99.1,186.6,66.5,56.1,2758,4,5,121,6,3.54,3.07,9.3,110,5250,21,28,15510
136,3,15,1,0,1,0,0,1,99.1,186.6,66.5,56.1,2808,0,5,121,6,3.54,3.07,9.0,160,5500,19,26,18150
137,2,15,1,0,0,3,0,1,99.1,186.6,66.5,56.1,2847,0,5,121,6,3.54,3.07,9.0,160,5500,19,26,18620
138,2,3,1,1,1,0,0,1,93.7,156.9,63.4,53.7,2050,1,5,97,3,3.62,2.36,9.0,69,4900,31,36,5118
139,2,3,1,1,1,0,0,1,93.7,157.9,63.6,53.7,2120,1,5,108,3,3.62,2.64,8.7,73,4400,26,31,7053
140,2,3,1,1,1,0,1,1,93.3,157.3,63.8,55.7,2240,1,5,108,3,3.62,2.64,8.7,73,4400,26,31,7603
141,0,3,1,1,0,3,0,1,97.2,172.0,65.4,52.5,2145,1,5,108,3,3.62,2.64,9.5,82,4800,32,37,7126
142,0,3,1,1,0,3,0,1,97.2,172.0,65.4,52.5,2190,1,5,108,3,3.62,2.64,9.5,82,4400,28,33,7775
143,0,3,1,1,0,3,0,1,97.2,172.0,65.4,52.5,2340,1,5,108,6,3.62,2.64,9.0,94,5200,26,32,9960
144,0,3,1,1,0,3,1,1,97.0,172.0,65.4,54.3,2385,1,5,108,3,3.62,2.64,9.0,82,4800,24,25,9233
145,0,3,1,0,0,3,1,1,97.0,172.0,65.4,54.3,2510,1,5,108,6,3.62,2.64,7.7,111,4800,24,29,11259
146,0,3,1,1,0,4,0,1,97.0,173.5,65.4,53.0,2290,1,5,108,3,3.62,2.64,9.0,82,4800,28,32,7463
147,0,3,1,1,0,4,0,1,97.0,173.5,65.4,53.0,2455,1,5,108,6,3.62,2.64,9.0,94,5200,25,31,10198
148,0,3,1,1,0,4,1,1,96.9,173.6,65.4,54.9,2420,1,5,108,3,3.62,2.64,9.0,82,4800,23,29,8013
149,0,3,1,0,0,4,1,1,96.9,173.6,65.4,54.9,2650,1,5,108,6,3.62,2.64,7.7,111,4800,23,23,11694
150,1,7,1,1,1,0,0,1,95.7,158.7,63.6,54.5,1985,4,5,92,3,3.05,3.03,9.0,62,4800,35,39,5348
151,1,7,1,1,1,0,0,1,95.7,158.7,63.6,54.5,2040,4,5,92,3,3.05,3.03,9.0,62,4800,31,38,6338
152,1,7,1,1,0,0,0,1,95.7,158.7,63.6,54.5,2015,4,5,92,3,3.05,3.03,9.0,62,4800,31,38,6488
153,0,7,1,1,0,4,0,1,95.7,169.7,63.6,59.1,2280,4,5,92,3,3.05,3.03,9.0,62,4800,31,37,6918
154,0,7,1,1,0,4,1,1,95.7,169.7,63.6,59.1,2290,4,5,92,3,3.05,3.03,9.0,62,4800,27,32,7898
155,0,7,1,1,0,4,1,1,95.7,169.7,63.6,59.1,3110,4,5,92,3,3.05,3.03,9.0,62,4800,27,32,8778
156,0,7,1,1,0,3,0,1,95.7,166.3,64.4,53.0,2081,4,5,98,3,3.19,3.03,9.0,70,4800,30,37,6938
157,0,7,1,1,0,0,0,1,95.7,166.3,64.4,52.8,2109,4,5,98,3,3.19,3.03,9.0,70,4800,30,37,7198
158,0,7,0,1,0,3,0,1,95.7,166.3,64.4,53.0,2275,4,5,110,2,3.27,3.35,22.5,56,4500,34,36,7898
159,0,7,0,1,0,0,0,1,95.7,166.3,64.4,52.8,2275,4,5,110,2,3.27,3.35,22.5,56,4500,38,47,7788
160,0,7,1,1,0,3,0,1,95.7,166.3,64.4,53.0,2094,4,5,98,3,3.19,3.03,9.0,70,4800,38,47,7738
161,0,7,1,1,0,0,0,1,95.7,166.3,64.4,52.8,2122,4,5,98,3,3.19,3.03,9.0,70,4800,28,34,8358
162,0,7,1,1,0,3,0,1,95.7,166.3,64.4,52.8,2140,4,5,98,3,3.19,3.03,9.0,70,4800,28,34,9258
163,1,7,1,1,1,3,2,1,94.5,168.7,64.0,52.6,2169,4,5,98,3,3.19,3.03,9.0,70,4800,29,34,8058
164,1,7,1,1,1,0,2,1,94.5,168.7,64.0,52.6,2204,4,5,98,3,3.19,3.03,9.0,70,4800,29,34,8238
165,1,7,1,1,1,3,2,1,94.5,168.7,64.0,52.6,2265,0,5,98,6,3.24,3.08,9.4,112,6600,26,29,9298
166,1,7,1,1,1,0,2,1,94.5,168.7,64.0,52.6,2300,0,5,98,6,3.24,3.08,9.4,112,6600,26,29,9538
167,2,7,1,1,1,2,2,1,98.4,176.2,65.6,52.0,2540,4,5,146,6,3.62,3.5,9.3,116,4800,24,30,8449
168,2,7,1,1,1,2,2,1,98.4,176.2,65.6,52.0,2536,4,5,146,6,3.62,3.5,9.3,116,4800,24,30,9639
169,2,7,1,1,1,0,2,1,98.4,176.2,65.6,52.0,2551,4,5,146,6,3.62,3.5,9.3,116,4800,24,30,9989
170,2,7,1,1,1,2,2,1,98.4,176.2,65.6,52.0,2679,4,5,146,6,3.62,3.5,9.3,116,4800,24,30,11199
171,2,7,1,1,1,0,2,1,98.4,176.2,65.6,52.0,2714,4,5,146,6,3.62,3.5,9.3,116,4800,24,30,11549
172,2,7,1,1,1,1,2,1,98.4,176.2,65.6,53.0,2975,4,5,146,6,3.62,3.5,9.3,116,4800,24,30,17669
173,-1,7,1,1,0,3,0,1,102.4,175.6,66.5,54.9,2326,4,5,122,6,3.31,3.54,8.7,92,4200,29,34,8948
174,-1,7,0,0,0,3,0,1,102.4,175.6,66.5,54.9,2480,4,5,110,2,3.27,3.35,22.5,73,4500,30,33,10698
175,-1,7,1,1,0,0,0,1,102.4,175.6,66.5,53.9,2414,4,5,122,6,3.31,3.54,8.7,92,4200,27,32,9988
176,-1,7,1,1,0,3,0,1,102.4,175.6,66.5,54.9,2414,4,5,122,6,3.31,3.54,8.7,92,4200,27,32,10898
177,-1,7,1,1,0,0,0,1,102.4,175.6,66.5,53.9,2458,4,5,122,6,3.31,3.54,8.7,92,4200,27,32,11248
178,3,7,1,1,1,0,2,1,102.9,183.5,67.7,52.0,2976,0,4,171,6,3.27,3.35,9.3,161,5200,20,24,16558
179,3,7,1,1,1,0,2,1,102.9,183.5,67.7,52.0,3016,0,4,171,6,3.27,3.35,9.3,161,5200,19,24,15998
180,-1,7,1,1,0,3,2,1,104.5,187.8,66.5,54.1,3131,0,4,171,6,3.27,3.35,9.2,156,5200,20,24,15690
181,-1,7,1,1,0,4,2,1,104.5,187.8,66.5,54.1,3151,0,4,161,6,3.27,3.35,9.2,156,5200,19,24,15750
182,2,19,0,1,1,3,0,1,97.3,171.7,65.5,55.7,2261,4,5,97,2,3.01,3.4,23.0,52,4800,37,46,7775
183,2,19,1,1,1,3,0,1,97.3,171.7,65.5,55.7,2209,4,5,109,6,3.19,3.4,9.0,85,5250,27,34,7975
184,2,19,0,1,0,3,0,1,97.3,171.7,65.5,55.7,2264,4,5,97,2,3.01,3.4,23.0,52,4800,37,46,7995
185,2,19,1,1,0,3,0,1,97.3,171.7,65.5,55.7,2212,4,5,109,6,3.19,3.4,9.0,85,5250,27,34,8195
186,2,19,1,1,0,3,0,1,97.3,171.7,65.5,55.7,2275,4,5,109,6,3.19,3.4,9.0,85,5250,27,34,8495
187,2,19,0,0,0,3,0,1,97.3,171.7,65.5,55.7,2319,4,5,97,2,3.01,3.4,23.0,68,4500,37,42,9495
188,2,19,1,1,0,3,0,1,97.3,171.7,65.5,55.7,2300,4,5,109,6,3.19,3.4,10.0,100,5500,26,32,9995
189,3,19,1,1,1,1,0,1,94.5,159.3,64.2,55.6,2254,4,5,109,6,3.19,3.4,8.5,90,5500,24,29,11595
190,3,19,1,1,1,0,0,1,94.5,165.7,64.0,51.4,2221,4,5,109,6,3.19,3.4,8.5,90,5500,24,29,9980
191,0,19,1,1,0,3,0,1,100.4,180.2,66.9,55.1,2661,4,0,136,6,3.19,3.4,8.5,110,5500,19,24,13295
192,0,19,0,0,0,3,0,1,100.4,180.2,66.9,55.1,2579,4,5,97,2,3.01,3.4,23.0,68,4500,33,38,13845
193,0,19,1,1,0,4,0,1,100.4,183.1,66.9,55.1,2563,4,5,109,6,3.19,3.4,9.0,88,5500,25,31,12290
194,-2,14,1,1,0,3,2,1,104.3,188.8,67.2,56.2,2912,4,5,141,6,3.78,3.15,9.5,114,5400,23,28,12940
195,-1,14,1,1,0,4,2,1,104.3,188.8,67.2,57.5,3034,4,5,141,6,3.78,3.15,9.5,114,5400,23,28,13415
196,-2,14,1,1,0,3,2,1,104.3,188.8,67.2,56.2,2935,4,5,141,6,3.78,3.15,9.5,114,5400,24,28,15985
197,-1,14,1,1,0,4,2,1,104.3,188.8,67.2,57.5,3042,4,5,141,6,3.78,3.15,9.5,114,5400,24,28,16515
198,-2,14,1,0,0,3,2,1,104.3,188.8,67.2,56.2,3045,4,5,130,6,3.62,3.15,7.5,162,5100,17,22,18420
199,-1,14,1,0,0,4,2,1,104.3,188.8,67.2,57.5,3157,4,5,130,6,3.62,3.15,7.5,162,5100,17,22,18950
200,-1,14,1,1,0,3,2,1,109.1,188.8,68.9,55.5,2952,4,5,141,6,3.78,3.15,9.5,114,5400,23,28,16845
201,-1,14,1,0,0,3,2,1,109.1,188.8,68.8,55.5,3049,4,5,141,6,3.78,3.15,8.7,160,5300,19,25,19045
202,-1,14,1,1,0,3,2,1,109.1,188.8,68.9,55.5,3012,2,4,173,6,3.58,2.87,8.8,134,5500,18,23,21485
203,-1,14,0,0,0,3,2,1,109.1,188.8,68.9,55.5,3217,4,4,145,2,3.01,3.4,23.0,106,4800,26,27,22470
204,-1,14,1,0,0,3,2,1,109.1,188.8,68.9,55.5,3062,4,5,141,6,3.78,3.15,9.5,114,5400,19,25,22625
