,class,component,sup,cpm,mis,misr,dir,omega
55,1,29,2,6000,0.75,0,8,3
56,1,30,3,3000,9,0,9,3
57,1,31,3,3000,3.1,0,5,3
58,1,32,3,6000,0.9,0,9,3
59,1,33,1,3000,0.8,0,9,3
60,1,34,1,3000,0.45,0,5,3
61,1,35,1,6000,2.3,0,9,3
62,1,36,1,6000,0.85,0,5,3
63,1,37,1,18000,0.7,0,5,3
64,1,38,2,3000,1.05,0,9,3
65,1,39,2,3000,0.7,0,8,3
66,1,40,3,3000,9,0,7,3
67,1,0,3,0,47.5,7,6,2
68,1,1,3,0,20,5.5,0,2
69,1,2,3,0,3.85,0.9,1,2
70,1,3,3,0,1.6,0.7,4,2
71,1,4,4,0,27.5,6,6,2
72,1,5,4,0,25,5,0,2
73,1,6,4,0,2.1,0.7,1,2
74,1,7,4,0,2,0.6,4,2
75,1,8,2,0,7,5,6,2
76,1,9,2,0,75,34,0,2
77,1,10,2,0,0.9,0.7,1,2
78,1,11,2,0,5,2.7,4,2
79,1,12,1,0,5,4,6,2
80,1,13,1,0,80,40,3,2
81,1,14,1,0,0.6,0.6,1,2
82,1,15,1,0,5.4,2.7,2,2
83,1,16,4,22000,0.3,0,9,2
84,1,17,2,1500,4.8,2.4,8,2
85,1,18,2,3000,1.2,0,8,2
86,1,19,3,1500,3,0,9,2
87,1,20,3,1500,1.5,0,8,2
88,1,21,1,1500,5,2.7,5,2
89,1,22,3,31000,0.95,0,9,2
90,1,23,3,31000,0.35,0,8,2
91,1,24,1,3000,1,0,5,2
92,1,25,4,1500,1.9,0,9,2
93,1,26,4,1500,1.7,0,8,2
94,1,27,1,1500,5,0,7,2
95,1,0,3,0,38,0,6,2
96,1,1,3,0,20,0,3,2
97,1,2,3,0,3.4,0,1,2
98,1,3,3,0,2,0,2,2
99,1,4,4,0,24,0,6,2
100,1,5,4,0,14,0,0,2
101,1,6,4,0,2.2,0,1,2
102,1,7,4,0,1.7,0,4,2
103,1,8,1,0,34,0,6,2
104,1,9,1,0,55,0,3,2
105,1,10,1,0,6.7,0,1,2
106,1,11,1,0,5.7,0,2,2
107,1,12,2,0,57.5,0,6,2
108,1,13,2,0,65,0,0,2
109,1,14,2,0,8.2,0,1,2
110,1,15,2,0,6.3,0,4,2
111,1,16,3,1500,2.5,0,9,2
112,1,17,3,1500,1.5,0,5,2
113,1,18,1,3000,1,0,9,2
114,1,19,1,3000,2.75,0,5,2
115,1,20,3,3000,1,0,9,2
116,1,21,3,3000,0.4,0,5,2
117,1,22,3,4500,1.6,0,9,2
118,1,23,3,4500,0.4,0,5,2
119,1,24,3,7500,0.45,0,9,2
120,1,25,3,33000,0.5,0,9,2
121,1,26,3,29000,0.45,0,5,2
122,1,27,4,1500,1.5,0,9,2
123,1,28,4,1500,0.9,0,8,2
124,1,29,4,3000,0.9,0,9,2
125,1,30,4,3000,1,0,8,2
126,1,31,4,4500,0.9,0,9,2
127,1,32,4,23000,0.55,0,8,2
128,1,33,1,4500,5.2,0,9,2
129,1,34,1,4500,0.9,0,5,2
130,1,35,2,1500,3.4,0,9,2
131,1,36,2,1500,4.4,0,8,2
132,1,37,2,3000,2.1,0,9,2
133,1,38,2,3000,2.65,0,8,2
134,1,39,2,4500,6.75,0,9,2
135,1,40,1,1500,1.5,0,9,2
136,1,41,1,1500,3.5,0,5,2
137,1,42,2,10500,0.45,0,9,2
138,1,43,2,4500,6.75,0,7,2
139,1,0,2,0,120,9.5,6,1
140,1,1,2,0,100,11,3,1
141,1,2,2,0,42,5.5,0,1
142,1,3,2,0,7.5,1,1,1
143,1,4,2,0,5.8,0.65,2,1
144,1,5,2,0,2.5,0.55,4,1
145,1,6,1,0,17.5,3,6,1
146,1,7,1,0,28,4.5,3,1
147,1,8,1,0,4.6,0.7,1,1
148,1,9,1,0,3.4,0.75,2,1
149,1,10,3,0,50,0,6,1
150,1,11,3,0,60,0,3,1
151,1,12,3,0,3,0,1,1
152,1,13,3,0,3,0,2,1
153,1,14,1,4800,3.6,0,9,1
154,1,15,1,4800,1.2,0,5,1
155,1,16,2,13000,0.45,0,5,1
156,1,17,2,30000,0.55,0,5,1
157,1,18,3,1000,2.4,0,9,1
158,1,19,3,1000,2.7,0,5,1
159,1,20,3,2000,0.5,0,5,1
160,1,21,1,6000,1.1,0,9,1
161,1,22,1,7000,1.2,0,5,1
162,1,23,1,1000,1.2,0,5,1
163,1,24,1,8000,0.9,0,9,1
164,1,25,3,12000,0.4,0,9,1
165,1,26,1,11000,0.5,0,9,1
166,1,27,1,12500,0.65,0,5,1
167,1,28,1,24000,0.35,0,9,1
168,1,29,1,24000,0.35,0,5,1
169,1,30,2,1000,4.8,0.5,9,1
170,1,31,2,1000,4,0.5,5,1
171,1,32,2,1000,2,0,8,1
172,1,33,2,2000,1.3,0,9,1
173,1,34,2,2000,1,0,5,1
174,1,35,2,4800,3.6,0,9,1
175,1,36,2,6000,1.55,0,9,1
176,1,37,2,6000,1.05,0.3,5,1
177,1,38,2,7000,1.35,0,5,1
178,1,39,2,8000,0.5,0,8,1
179,1,40,2,9000,1.25,0,9,1
180,1,41,2,1000,4.8,0,7,1
181,1,0,1,0,10,0,6,2
182,1,1,1,0,14.5,0,3,2
183,1,2,1,0,0.9,0,1,2
184,1,3,1,0,1.2,0,2,2
185,1,4,2,0,14.5,0,6,2
186,1,5,2,0,54,0,3,2
187,1,6,2,0,38,0,0,2
188,1,7,2,0,1.3,0,1,2
189,1,8,2,0,4.2,0,2,2
190,1,9,2,0,3.4,0,4,2
191,1,10,3,0,15,0,6,2
192,1,11,3,0,45,0,3,2
193,1,12,3,0,3.3,0,1,2
194,1,13,4,0,10,0,6,2
195,1,14,4,0,15.5,0,0,2
196,1,15,4,0,3.1,0,1,2
197,1,16,4,0,1.9,0,4,2
198,1,17,2,1500,1.1,0,9,2
199,1,18,2,1500,4,0,5,2
200,1,19,2,1500,2.5,0,8,2
201,1,20,2,3000,1,0,5,2
202,1,21,2,3000,0.6,0,8,2
203,1,22,1,1500,0.8,0,5,2
204,1,23,2,24000,0.4,0,9,2
205,1,24,4,31000,1.15,0,9,2
206,1,25,2,30000,0.45,0,5,2
207,1,26,2,30000,1.15,0,8,2
208,1,27,3,1500,1.1,0,9,2
209,1,28,3,1500,2.8,0,5,2
210,1,29,3,7500,1.65,0,5,2
211,1,30,3,15000,1.25,0,9,2
212,1,31,3,15000,0.5,0,5,2
213,1,32,3,30000,1.6,0,9,2
214,1,33,3,32000,0.95,0,5,2
215,1,34,4,1500,0.5,0,9,2
216,1,35,4,1500,1.2,0,8,2
217,1,36,4,7500,1.35,0,8,2
218,1,37,4,15000,1.05,0,9,2
219,1,38,4,15000,0.6,0,8,2
220,1,39,2,1500,4,0,7,2
221,1,0,3,0,38,0,6,3
222,1,1,3,0,42,0,3,3
223,1,2,3,0,7.6,0,1,3
224,1,3,3,0,7.4,0,2,3
225,1,4,4,0,20,0,6,3
226,1,5,4,0,7,0,0,3
227,1,6,4,0,4,0,1,3
228,1,7,4,0,2.7,0,4,3
229,1,8,2,0,11,0,6,3
230,1,9,2,0,6.5,0,3,3
231,1,10,2,0,2.7,0,1,3
232,1,11,2,0,1.4,0,2,3
233,1,12,1,0,10,0,6,3
234,1,13,1,0,9.5,0,0,3
235,1,14,1,0,2.75,0,1,3
236,1,15,1,0,2.8,0,4,3
237,1,16,1,6000,2.05,0,9,3
238,1,17,1,6000,0.4,0,8,3
239,1,18,3,21000,1,0,9,3
240,1,19,3,30000,0.9,0,5,3
241,1,20,3,41000,0.65,0,5,3
242,1,21,4,3000,3,0,9,3
243,1,22,4,3000,0.8,0,8,3
244,1,23,4,6000,0.65,0,9,3
245,1,24,4,6000,0.6,0,8,3
246,1,25,4,9000,0.6,0,9,3
247,1,26,4,9000,1.3,0,8,3
248,1,27,4,12000,0.8,0,9,3
249,1,28,4,15000,0.9,0,9,3
250,1,29,4,15000,0.5,0,8,3
251,1,30,1,9000,0.5,0,9,3
252,1,31,1,9000,0.35,0,8,3
253,1,32,1,12000,0.65,0,9,3
254,1,33,1,15000,1,0,9,3
255,1,34,1,15000,1.8,0,8,3
256,1,35,1,38000,0.55,0,8,3
257,1,36,2,3000,0.4,0,9,3
258,1,37,2,6000,2.25,0,9,3
259,1,38,2,15000,0.6,0,9,3
260,1,39,2,21000,0.45,0,9,3
261,1,40,1,3000,1.4,0,8,3
262,1,41,3,3000,5.4,0,9,3
263,1,42,3,3000,5.8,0,5,3
264,1,43,4,48000,0.8,0,8,3
265,1,44,3,6000,2.8,0,9,3
266,1,45,3,6000,0.6,0,5,3
267,1,46,3,9000,0.85,0,9,3
268,1,47,3,9000,2.1,0,5,3
269,1,48,3,12000,1.1,0,9,3
270,1,49,3,12000,0.9,0,5,3
271,1,50,3,15000,1.7,0,9,3
272,1,51,3,15000,1.2,0,5,3
273,1,52,3,3000,5.8,0,7,3
274,1,0,1,0,9,0,6,2
275,1,1,1,0,17,0,3,2
276,1,2,1,0,1.5,0,1,2
277,1,3,1,0,1.4,0,2,2
278,1,4,3,0,86,0,6,2
279,1,5,3,0,42,0,3,2
280,1,6,3,0,12,0,0,2
281,1,7,3,0,7.2,0,1,2
282,1,8,3,0,3.8,0,2,2
283,1,9,3,0,2.8,0,4,2
284,1,10,2,0,32,0,6,2
285,1,11,2,0,36,0,3,2
286,1,12,2,0,22,0,0,2
287,1,13,2,0,3.4,0,1,2
288,1,14,2,0,3.4,0,2,2
289,1,15,2,0,1.9,0,4,2
290,1,16,4,0,40,0,6,2
291,1,17,4,0,20,0,3,2
292,1,18,4,0,21,0,0,2
293,1,19,4,0,4.2,0,1,2
294,1,20,4,0,2.35,0,2,2
295,1,21,4,0,4.8,0,4,2
296,1,22,3,30000,1,0,5,2
297,1,23,3,30000,1.15,0,8,2
298,1,24,4,3000,0.8,0,9,2
299,1,25,4,1500,2.8,0,9,2
300,1,26,4,1500,1,0,5,2
301,1,27,4,1500,1.5,0,8,2
302,1,28,3,4500,2.25,0,9,2
303,1,29,3,4500,0.65,0,5,2
304,1,30,3,7500,1,0,8,2
305,1,31,3,9000,1.95,0,9,2
306,1,32,3,9000,0.7,0,5,2
307,1,33,3,10500,1.1,0,9,2
308,1,34,3,32000,1.35,0,9,2
309,1,35,2,4500,0.65,0,9,2
310,1,36,2,4500,0.3,0,5,2
311,1,37,2,4500,0.3,0,8,2
312,1,38,2,6000,0.5,0,9,2
313,1,39,2,6000,0.85,0,5,2
314,1,40,2,6000,0.7,0,8,2
315,1,41,2,9000,0.75,0,9,2
316,1,42,2,9000,0.45,0,5,2
317,1,43,2,9000,0.4,0,8,2
318,1,44,2,12000,0.85,0,9,2
319,1,45,3,1500,6,0,9,2
320,1,46,3,1500,2.9,0,5,2
321,1,47,3,1500,0.6,0,8,2
322,1,48,2,1500,2.4,0,9,2
323,1,49,2,1500,2.6,0,5,2
324,1,50,2,1500,1.5,0,8,2
325,1,51,3,3000,1.9,0,9,2
326,1,52,3,3000,0.7,0,5,2
327,1,53,2,3000,0.9,0,9,2
328,1,54,2,3000,0.7,0,5,2
329,1,55,2,3000,0.4,0,8,2
330,1,56,4,33000,1.5,0,8,2
331,1,57,4,32000,0.4,0,9,2
332,1,58,4,32000,1.1,0,5,2
333,1,59,4,10500,0.9,0,9,2
334,1,60,4,9000,0.9,0,9,2
335,1,61,4,9000,0.55,0,8,2
336,1,62,4,7500,1.1,0,8,2
337,1,63,4,4500,1.5,0,9,2
338,1,64,4,4500,0.9,0,5,2
339,1,65,4,4500,1.1,0,8,2
340,1,66,3,1500,6,0,7,2
341,4,0,1,0,15,0,6,3
342,4,1,1,0,80,0,3,3
343,4,2,1,0,3,0,1,3
344,4,3,1,0,13,0,2,3
345,4,4,3,0,28.5,0,6,3
346,4,5,3,0,32,0,3,3
347,4,6,3,0,13.5,0,0,3
348,4,7,3,0,6.8,0,1,3
349,4,8,3,0,6.5,0,2,3
350,4,9,3,0,2.8,0,4,3
351,4,10,4,0,11.5,0,6,3
352,4,11,4,0,5,0,0,3
353,4,12,4,0,2.6,0,1,3
354,4,13,4,0,1.9,0,4,3
355,4,14,2,0,15,0,6,3
356,4,15,2,0,22.5,0,3,3
357,4,16,2,0,94,0,0,3
358,4,17,2,0,4.8,0,1,3
359,4,18,2,0,7.5,0,2,3
360,4,19,2,0,16,0,4,3
361,4,20,3,28000,0.75,0,5,3
362,4,21,2,28000,2.9,0,9,3
363,4,22,2,28000,1.5,0,5,3
364,4,23,2,28000,1.4,0,8,3
365,4,24,2,37000,5.5,0,5,3
366,4,25,3,3000,4.2,0,9,3
367,4,26,3,3000,4.4,0,5,3
368,4,27,3,3000,2.15,0,8,3
369,4,28,3,6000,1.1,0,9,3
370,4,29,3,9000,1.1,0,9,3
371,4,30,3,9000,1.35,0,5,3
372,4,31,3,9000,0.65,0,8,3
373,4,32,1,3000,0.55,0,9,3
374,4,33,1,3000,11,0,5,3
375,4,34,3,18000,0.65,0,9,3
376,4,35,4,37000,1.15,0,9,3
377,4,36,4,37000,0.35,0,8,3
378,4,37,3,37000,4.5,0,9,3
379,4,38,3,37000,1.45,0,5,3
380,4,39,3,38000,2.4,0,8,3
381,4,40,4,9000,0.55,0,9,3
382,4,41,4,9000,1.1,0,8,3
383,4,42,4,6000,0.5,0,9,3
384,4,43,4,3000,1.9,0,9,3
385,4,44,4,3000,0.35,0,8,3
386,4,45,1,6000,0.9,0,9,3
387,4,46,1,9000,1.1,0,9,3
388,4,47,1,9000,2.5,0,5,3
389,4,48,1,18000,1.15,0,5,3
390,4,49,1,28000,2,0,5,3
391,4,50,1,33000,2.15,0,9,3
392,4,51,1,36000,1.5,0,5,3
393,4,52,2,3000,1.4,0,9,3
394,4,53,2,3000,3.3,0,5,3
395,4,54,2,3000,14,0,8,3
396,4,55,2,6000,1.1,0,9,3
397,4,56,2,9000,0.6,0,9,3
398,4,57,2,9000,2.3,0,8,3
399,4,58,2,18000,2,0,9,3
400,4,59,2,18000,1.1,0,5,3
401,4,60,2,18000,1,0,8,3
402,4,61,2,3000,14,0,7,3
403,5,0,4,0,82,0,6,3
404,5,1,4,0,57,0,0,3
405,5,2,4,0,14,0,1,3
406,5,3,4,0,9,0,4,3
407,5,4,3,0,72,0,6,3
408,5,5,3,0,40,0,3,3
409,5,6,3,0,21.5,0,0,3
410,5,7,3,0,14.5,0,1,3
411,5,8,3,0,12,0,2,3
412,5,9,3,0,3.5,0,4,3
413,5,10,1,0,26.5,0,6,3
414,5,11,1,0,9,0,3,3
415,5,12,1,0,5.7,0,1,3
416,5,13,1,0,2.7,0,2,3
417,5,14,2,0,24.5,0,6,3
418,5,15,2,0,26,0,3,3
419,5,16,2,0,9.5,0,0,3
420,5,17,2,0,5.2,0,1,3
421,5,18,2,0,4.7,0,2,3
422,5,19,2,0,2.5,0,4,3
423,5,20,2,12000,0.7,0,9,3
424,5,21,2,12000,0.35,0,5,3
425,5,22,3,6000,2.8,0,9,3
426,5,23,3,6000,12,0,5,3
427,5,24,3,6000,1.1,0,8,3
428,5,25,3,9000,0.8,0,9,3
429,5,26,3,9000,1.3,0,5,3
430,5,27,3,15000,0.6,0,9,3
431,5,28,3,18000,2.5,0,5,3
432,5,29,3,18000,0.5,0,8,3
433,5,30,3,22000,2.1,0,5,3
434,5,31,4,21000,0.9,0,9,3
435,5,32,4,21000,1.75,0,8,3
436,5,33,4,9000,0.65,0,9,3
437,5,34,4,9000,0.6,0,8,3
438,5,35,4,6000,2.5,0,8,3
439,5,36,4,3000,12,0,9,3
440,5,37,4,3000,8,0,8,3
441,5,38,3,36000,1.25,0,8,3
442,5,39,3,30000,3.5,0,9,3
443,5,40,2,9000,0.5,0,9,3
444,5,41,2,9000,0.6,0,5,3
445,5,42,2,6000,3.8,0,9,3
446,5,43,2,6000,1.2,0,5,3
447,5,44,2,6000,0.7,0,8,3
448,5,45,2,3000,3.8,0,9,3
449,5,46,2,3000,3.8,0,5,3
450,5,47,2,3000,1.4,0,8,3
451,5,48,1,24000,0.5,0,9,3
452,5,49,1,24000,0.9,0,5,3
453,5,50,1,18000,0.55,0,5,3
454,5,51,1,12000,0.35,0,9,3
455,5,52,1,12000,0.45,0,5,3
456,5,53,1,9000,0.4,0,9,3
457,5,54,1,9000,0.4,0,5,3
458,5,55,1,6000,3,0,9,3
459,5,56,1,6000,2.15,0,5,3
460,5,57,1,3000,3.2,0,9,3
461,5,58,1,3000,0.65,0,5,3
462,5,59,4,30000,1.5,0,9,3
463,5,60,2,24000,0.55,0,9,3
464,5,61,2,24000,0.95,0,8,3
465,5,62,2,18000,0.7,0,5,3
466,5,63,2,28000,1.25,0,8,3
467,5,64,3,28000,1.75,0,5,3
468,5,65,3,3000,11,0,9,3
469,5,66,3,3000,1.2,0,5,3
470,5,67,3,3000,3.2,0,8,3
471,5,68,3,6000,12,0,7,3
472,1,0,1,0,11,0,6,3
473,1,1,1,0,6,0,3,3
474,1,2,1,0,2.15,0,1,3
475,1,3,1,0,1.4,0,2,3
476,1,4,4,0,11,0,6,3
477,1,5,4,0,7,0,3,3
478,1,6,4,0,3,0,1,3
479,1,7,4,0,4.2,0,2,3
480,1,8,2,0,19,0,6,3
481,1,9,2,0,21,0,3,3
482,1,10,2,0,32,0,0,3
483,1,11,2,0,3,0,1,3
484,1,12,2,0,4.5,0,2,3
485,1,13,2,0,6.2,0,4,3
486,1,14,3,0,54,0,6,3
487,1,15,3,0,30,0,3,3
488,1,16,3,0,48,0,0,3
489,1,17,3,0,10.5,0,1,3
490,1,18,3,0,6.4,0,2,3
491,1,19,3,0,9.8,0,4,3
492,1,20,1,9000,0.35,0,9,3
493,1,21,3,37000,1.4,0,9,3
494,1,22,4,3000,1.6,0,9,3
495,1,23,4,3000,0.9,0,5,3
496,1,24,4,6000,1.9,0,9,3
497,1,25,4,6000,0.8,0,5,3
498,1,26,4,9000,0.6,0,5,3
499,1,27,4,12000,1.2,0,5,3
500,1,28,4,18000,1.8,0,5,3
501,1,29,4,28000,0.7,0,9,3
502,1,30,4,38000,2.4,0,5,3
503,1,31,2,24000,0.55,0,8,3
504,1,32,1,24000,0.55,0,9,3
505,1,33,1,3000,1.4,0,9,3
506,1,34,2,3000,2.5,0,9,3
507,1,35,2,3000,2.75,0,5,3
508,1,36,2,3000,4.6,0,8,3
509,1,37,1,6000,0.55,0,9,3
510,1,38,2,6000,0.45,0,9,3
511,1,39,2,6000,1.9,0,5,3
512,1,40,2,6000,3,0,8,3
513,1,41,2,9000,0.7,0,5,3
514,1,42,2,12000,0.65,0,5,3
515,1,43,2,21000,0.9,0,5,3
516,1,44,3,3000,8,0,9,3
517,1,45,3,3000,4.2,0,5,3
518,1,46,3,3000,6.6,0,8,3
519,1,47,3,6000,3.5,0,9,3
520,1,48,3,6000,1.15,0,5,3
521,1,49,3,6000,2.35,0,8,3
522,1,50,3,9000,0.75,0,5,3
523,1,51,3,12000,0.9,0,5,3
524,1,52,3,12000,1.9,0,8,3
525,1,53,3,18000,1.1,0,5,3
526,1,54,3,18000,1.6,0,8,3
527,1,55,3,28000,1.35,0,8,3
528,1,56,3,36000,1.4,0,5,3
529,1,57,3,3000,8,0,7,3
530,1,0,2,0,7,0,6,3
531,1,1,2,0,5.5,0,3,3
532,1,2,2,0,5,0,0,3
533,1,3,2,0,2.5,0,1,3
534,1,4,2,0,1.75,0,2,3
535,1,5,2,0,2.45,0,4,3
536,1,6,4,0,8.5,0,6,3
537,1,7,4,0,6,0,3,3
538,1,8,4,0,2.25,0,1,3
539,1,9,4,0,4.5,0,2,3
540,1,10,3,0,53,0,6,3
541,1,11,3,0,33,0,3,3
542,1,12,3,0,40,0,0,3
543,1,13,3,0,11,0,1,3
544,1,14,3,0,6.4,0,2,3
545,1,15,3,0,8,0,4,3
546,1,16,1,0,7,0,6,3
547,1,17,1,0,3,0,3,3
548,1,18,1,0,3.4,0,1,3
549,1,19,1,0,2.3,0,2,3
550,1,20,2,18000,0.5,0,8,3
551,1,21,3,15000,0.6,0,5,3
552,1,22,3,28000,3.5,0,9,3
553,1,23,3,28000,2,0,5,3
554,1,24,3,28000,4.5,0,8,3
555,1,25,4,3000,1.3,0,9,3
556,1,26,4,3000,0.7,0,5,3
557,1,27,4,6000,0.75,0,9,3
558,1,28,4,6000,0.95,0,5,3
559,1,29,4,28000,0.4,0,9,3
560,1,30,4,28000,2.5,0,5,3
561,1,31,2,9000,1.55,0,9,3
562,1,32,2,6000,0.8,0,9,3
563,1,33,2,3000,0.45,0,9,3
564,1,34,2,3000,0.85,0,5,3
565,1,35,2,3000,0.4,0,8,3
566,1,36,2,28000,0.6,0,5,3
567,1,37,2,28000,1.8,0,8,3
568,1,38,1,3000,0.2,0,9,3
569,1,39,1,6000,0.85,0,9,3
570,1,40,1,6000,0.35,0,5,3
571,1,41,1,9000,2.05,0,9,3
572,1,42,1,12000,0.8,0,9,3
573,1,43,1,12000,0.4,0,5,3
574,1,44,2,27000,1,0,9,3
575,1,45,1,15000,0.9,0,9,3
576,1,46,4,42000,0.8,0,9,3
577,1,47,1,21000,0.7,0,9,3
578,1,48,1,24000,1.6,0,5,3
579,1,49,3,3000,7,0,9,3
580,1,50,3,3000,4,0,5,3
581,1,51,3,3000,6,0,8,3
582,1,52,3,6000,2,0,9,3
583,1,53,3,6000,1.65,0,5,3
584,1,54,3,3000,7,0,7,3
585,1,0,1,0,15,0,6,2
586,1,1,1,0,23,0,3,2
587,1,2,1,0,2.6,0,1,2
588,1,3,1,0,2.1,0,2,2
589,1,4,3,0,56,0,6,2
590,1,5,3,0,20,0,3,2
591,1,6,3,0,5.4,0,1,2
592,1,7,3,0,3.2,0,2,2
593,1,8,2,0,44,0,6,2
594,1,9,2,0,42,0,3,2
595,1,10,2,0,21.5,0,0,2
596,1,11,2,0,3.8,0,1,2
597,1,12,2,0,3.8,0,2,2
598,1,13,2,0,2.3,0,4,2
599,1,14,4,0,22,0,6,2
600,1,15,4,0,4.5,0,3,2
601,1,16,4,0,18,0,0,2
602,1,17,4,0,2.7,0,1,2
603,1,18,4,0,2.7,0,2,2
604,1,19,4,0,2.65,0,4,2
605,1,20,2,27000,0.65,0,8,2
606,1,21,4,1500,1.5,0,9,2
607,1,22,4,1500,0.3,0,5,2
608,1,23,4,1500,1.3,0,8,2
609,1,24,3,32000,1.9,0,9,2
610,1,25,4,30000,0.7,0,9,2
611,1,26,4,30000,1.7,0,8,2
612,1,27,4,32000,1.9,0,5,2
613,1,28,2,9000,0.45,0,9,2
614,1,29,2,7500,0.8,0,5,2
615,1,30,2,6000,0.6,0,9,2
616,1,31,2,6000,0.55,0,5,2
617,1,32,2,4500,0.65,0,9,2
618,1,33,2,4500,0.35,0,8,2
619,1,34,2,3000,0.4,0,5,2
620,1,35,2,3000,0.45,0,8,2
621,1,36,2,1500,3,0,9,2
622,1,37,2,1500,3.2,0,5,2
623,1,38,2,1500,1.6,0,8,2
624,1,39,1,19000,0.45,0,9,2
625,1,40,3,1500,4,0,9,2
626,1,41,3,1500,1.5,0,5,2
627,1,42,1,9000,0.75,0,9,2
628,1,43,4,35000,0.7,0,9,2
629,1,44,1,6000,0.8,0,9,2
630,1,45,1,4500,0.65,0,9,2
631,1,46,1,4500,0.5,0,5,2
632,1,47,1,3000,0.3,0,5,2
633,1,48,1,1500,0.9,0,9,2
634,1,49,1,1500,1.6,0,5,2
635,1,50,3,28000,2.15,0,5,2
636,1,51,3,1500,4,0,7,2
637,1,0,1,0,11,0,6,3
638,1,1,1,0,4.5,0,1,3
639,1,2,2,0,19,0,6,3
640,1,3,2,0,45,0,3,3
641,1,4,2,0,27.5,0,0,3
642,1,5,2,0,13.5,0,1,3
643,1,6,2,0,14,0,2,3
644,1,7,2,0,10,0,4,3
645,1,8,4,0,5.5,0,6,3
646,1,9,4,0,5.5,0,3,3
647,1,10,4,0,1.7,0,1,3
648,1,11,4,0,1.7,0,2,3
649,1,12,3,0,9,0,6,3
650,1,13,3,0,10,0,3,3
651,1,14,3,0,2.5,0,1,3
652,1,15,3,0,2.5,0,2,3
653,1,16,1,6000,1.75,0,9,3
654,1,17,1,9000,2.25,0,9,3
655,1,18,1,12000,1.75,0,9,3
656,1,19,1,15000,1.6,0,9,3
657,1,20,1,3000,0.8,0,9,3
658,1,21,1,24000,1.25,0,9,3
659,1,22,2,21000,7.5,0,9,3
660,1,23,2,21000,4.5,0,5,3
661,1,24,2,21000,3.5,0,8,3
662,1,25,2,3000,2,0,9,3
663,1,26,2,3000,4,0,5,3
664,1,27,2,3000,2.8,0,8,3
665,1,28,2,6000,3.5,0,9,3
666,1,29,2,6000,9.5,0,5,3
667,1,30,2,6000,8,0,8,3
668,1,31,2,12000,2.5,0,9,3
669,1,32,2,12000,3.5,0,8,3
670,1,33,2,15000,5,0,9,3
671,1,34,2,15000,4.5,0,8,3
672,1,35,2,6000,9.5,0,7,3
673,1,0,2,0,24.5,17.5,6,3
674,1,1,2,0,36,9,3,3
675,1,2,2,0,85,12,0,3
676,1,3,2,0,3.9,2.9,1,3
677,1,4,2,0,4.8,1.25,2,3
678,1,5,2,0,13,1.95,4,3
679,1,6,3,0,92,14,6,3
680,1,7,3,0,85,14.5,3,3
681,1,8,3,0,64,3,0,3
682,1,9,3,0,16,3.2,1,3
683,1,10,3,0,15,2.5,2,3
684,1,11,3,0,9,1.2,4,3
685,1,12,1,0,19,14,6,3
686,1,13,1,0,65,13.5,3,3
687,1,14,1,0,3.2,2.3,1,3
688,1,15,1,0,9,1.9,2,3
689,1,16,4,0,65,10.5,6,3
