age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
35,2,56352,10,11,6,7,1,4,1,0,0,40,19,1
41,2,147372,1,9,6,10,1,4,1,0,0,48,21,1
30,2,188146,1,9,6,5,1,4,1,5013,0,40,21,1
30,2,59496,13,13,6,1,1,4,1,2407,0,40,21,1
48,2,149640,1,9,6,11,1,4,1,0,0,40,21,1
42,2,116632,5,16,6,0,1,4,1,0,0,45,21,0
29,2,105598,14,10,0,9,4,4,1,0,0,58,21,1
36,2,155537,1,9,6,8,1,4,1,0,0,40,21,1
28,2,183175,14,10,0,10,4,4,0,0,0,40,21,1
53,2,169846,1,9,6,10,2,4,0,0,0,40,21,0
49,6,191681,14,10,6,4,1,4,1,0,0,50,21,0
19,2,101509,14,10,4,0,0,4,1,0,0,32,21,1
31,2,309974,13,13,5,1,0,3,0,0,0,40,21,1
29,5,162298,13,13,6,1,1,4,1,0,0,70,21,0
23,2,211678,14,10,4,5,4,4,1,0,0,40,21,1
79,2,124744,14,10,6,0,5,4,1,0,0,20,21,1
27,2,213921,1,9,4,7,0,4,1,0,0,40,40,1
40,2,32214,3,12,6,10,1,4,1,0,0,40,21,1
18,2,309634,7,7,4,7,0,4,0,0,0,22,21,1
31,0,125927,0,4,6,12,1,4,1,0,0,40,21,1
18,2,446839,1,9,4,1,4,4,1,0,0,30,21,1
52,2,276515,13,13,6,7,1,4,1,0,0,40,7,1
46,2,51618,1,9,6,7,2,4,0,0,0,40,21,1
59,2,159937,1,9,6,1,1,4,1,0,0,48,21,1
44,2,343591,1,9,0,8,4,4,0,14344,0,40,21,0
53,2,346253,1,9,0,1,0,4,0,0,0,35,21,1
49,0,268234,1,9,6,2,1,4,1,0,0,40,21,0
33,2,202051,9,14,6,0,1,4,1,0,0,50,21,1
30,2,54334,15,5,4,1,4,4,1,0,0,40,21,1
43,4,410867,5,16,4,0,4,4,0,0,0,50,21,0
57,2,249977,10,11,6,0,1,4,1,0,0,40,21,1
37,2,286730,14,10,0,8,3,4,0,0,0,40,21,1
28,2,212563,14,10,0,5,3,3,0,0,0,25,21,1
34,0,226296,13,13,6,2,1,4,1,0,0,40,21,0
29,0,115585,14,10,4,13,4,4,1,0,0,50,21,1
48,5,191277,5,16,6,0,1,4,1,0,1902,60,21,0
37,2,202683,14,10,6,1,1,4,1,0,0,48,21,0
48,2,171095,3,12,0,4,3,4,0,0,0,40,9,1
32,4,249409,1,9,4,7,0,3,1,0,0,40,21,1
76,2,124191,9,14,6,4,1,4,1,0,0,40,21,0
44,2,198282,13,13,6,4,1,4,1,15024,0,60,21,0
47,5,149116,9,14,4,0,4,4,0,0,0,50,21,1
20,2,188300,14,10,4,9,0,4,0,0,0,40,21,1
29,2,103432,1,9,4,8,4,4,1,0,0,40,21,1
32,6,317660,1,9,6,8,1,4,1,7688,0,40,21,0
30,2,194901,7,7,4,13,0,4,1,0,0,40,21,1
31,0,189265,1,9,4,10,4,4,0,0,0,40,21,1
42,2,124692,1,9,6,13,1,4,1,0,0,40,21,1
24,2,432376,13,13,4,1,5,4,1,0,0,40,21,1
38,2,65324,12,15,6,0,1,4,1,0,0,40,21,0
56,5,335605,1,9,6,7,1,4,1,0,1887,50,11,0
28,2,377869,14,10,6,1,2,4,0,4064,0,25,21,1
36,2,102864,1,9,4,5,0,4,0,0,0,40,21,1
53,2,95647,15,5,6,13,1,4,1,0,0,50,21,1
56,6,303090,14,10,6,1,1,4,1,0,0,50,21,1
49,0,197371,10,11,6,8,1,3,1,0,0,40,21,0
55,2,247552,14,10,6,1,1,4,1,0,0,56,21,1
22,2,102632,1,9,4,8,4,4,1,0,0,41,21,1
21,2,199915,14,10,4,7,0,4,0,0,0,40,21,1
40,2,118853,13,13,6,4,1,4,1,0,0,60,21,1
30,2,77143,13,13,4,4,0,3,1,0,0,40,36,1
29,3,267989,13,13,6,0,1,4,1,0,0,50,21,0
19,2,301606,14,10,4,7,0,3,1,0,0,35,21,1
47,2,287828,13,13,6,4,2,4,0,0,0,40,21,0
20,2,111697,14,10,4,10,0,4,0,0,1719,28,21,1
31,2,114937,3,12,6,10,1,4,1,0,0,40,21,0
39,2,365739,14,10,0,8,4,4,1,0,0,40,21,1
28,2,69621,3,12,4,1,4,4,0,0,0,60,21,1
24,2,43323,1,9,4,7,4,4,0,0,1762,40,21,1
38,5,120985,1,9,6,8,1,4,1,4386,0,35,21,1
37,2,254202,13,13,6,1,1,4,1,0,0,50,21,1
46,2,146195,3,12,0,9,4,3,0,0,0,36,21,1
38,4,125933,9,14,6,0,1,4,1,0,0,40,26,0
43,5,56920,1,9,6,8,1,4,1,0,0,60,21,1
27,2,163127,10,11,6,10,2,4,0,0,0,35,21,1
20,2,34310,14,10,4,1,0,4,1,0,0,20,21,1
49,2,81973,14,10,6,8,1,1,1,0,0,40,21,0
61,6,66614,1,9,6,8,1,4,1,0,0,40,21,1
27,2,232782,14,10,4,1,0,4,0,0,0,40,21,1
19,2,316868,14,10,4,7,0,4,1,0,0,30,40,1
45,2,196584,10,11,4,0,4,4,0,0,1564,40,21,0
70,2,105376,14,10,4,9,5,4,1,0,0,40,21,1
31,2,185814,1,9,4,11,3,3,0,0,0,30,21,1
22,2,175374,14,10,6,7,1,4,1,0,0,24,21,1
36,2,108293,1,9,1,7,3,4,0,0,0,24,21,1
64,2,181232,7,7,6,8,1,4,1,0,2179,40,21,1
47,0,186009,14,10,0,10,3,4,0,0,0,38,40,1
34,2,198183,1,9,4,10,4,4,0,0,0,40,21,1
33,2,163003,13,13,4,4,5,1,0,0,0,40,34,1
21,2,296158,1,9,4,8,0,4,1,0,0,35,21,1
48,2,187715,1,9,6,8,1,4,1,0,0,46,21,1
23,2,214542,13,13,4,13,4,4,1,0,0,40,21,1
71,5,494223,14,10,5,1,3,3,1,0,1816,2,21,1
29,2,191535,1,9,0,8,4,4,1,0,0,60,21,1
42,2,228456,13,13,5,7,5,3,1,0,0,50,21,1
25,2,252752,1,9,4,7,3,4,0,0,0,40,21,1
44,6,78374,9,14,0,4,3,1,0,0,0,40,21,1
28,2,88419,1,9,4,4,4,1,0,0,0,40,9,1
45,5,201080,9,14,6,1,1,4,1,0,0,40,21,0
36,2,207157,14,10,0,7,3,4,0,0,0,40,40,1
39,4,235485,3,12,4,4,4,4,1,0,0,42,21,1
46,3,102628,9,14,1,2,3,4,1,0,0,40,21,1
18,2,25828,7,7,4,13,0,4,1,0,0,16,21,1
66,0,54826,10,11,1,0,4,4,0,0,0,20,21,1
27,2,124953,1,9,4,7,4,4,1,0,1980,40,21,1
28,3,175325,1,9,6,2,1,4,1,0,0,40,21,1
51,2,96062,14,10,6,1,1,4,1,0,1977,40,21,0
27,2,428030,13,13,4,8,4,4,1,0,0,50,21,1
28,3,149624,13,13,6,0,1,4,1,0,0,40,21,0
27,2,253814,1,9,3,1,3,4,0,0,0,25,21,1
21,2,312956,1,9,4,8,0,3,1,0,0,40,21,1
34,2,483777,1,9,4,13,4,3,1,0,0,40,21,1
18,2,183930,1,9,4,7,0,4,1,0,0,12,21,1
33,2,37274,13,13,6,0,1,4,1,0,0,65,21,1
44,0,181344,14,10,6,4,1,3,1,0,0,38,21,0
43,2,114580,14,10,0,10,4,4,0,0,0,40,21,1
30,2,633742,14,10,4,8,4,3,1,0,0,45,21,1
40,2,286370,0,4,6,5,1,4,1,0,0,40,40,0
37,4,29054,14,10,6,10,1,4,1,0,0,42,21,0
34,2,304030,1,9,6,10,1,3,1,0,0,40,21,1
41,5,143129,13,13,0,4,4,4,0,0,0,40,21,1
31,2,99928,9,14,6,0,2,4,0,0,0,50,21,1
58,3,109567,5,16,6,0,1,4,1,0,0,1,21,0
38,2,155222,14,10,0,5,4,3,0,0,0,28,21,1
24,2,159567,14,10,6,5,1,4,1,0,0,40,21,1
41,0,523910,13,13,6,8,1,3,1,0,0,40,21,1
47,2,120939,14,10,6,9,1,4,1,0,0,45,21,1
41,4,130760,13,13,6,9,1,4,1,0,0,24,21,1
23,2,197387,8,3,6,11,5,4,1,0,0,40,40,1
36,2,99374,14,10,0,8,4,4,1,0,0,40,21,1
40,4,56795,9,14,4,4,4,4,0,14084,0,55,21,0
35,2,138992,9,14,6,0,5,4,1,7298,0,40,21,0
24,5,32921,1,9,4,1,4,4,1,0,0,40,21,1
26,2,397317,9,14,4,0,4,4,0,0,1876,40,21,1
51,2,259323,13,13,6,4,1,4,1,0,0,50,21,0
42,0,254817,14,10,4,0,4,4,0,0,1340,40,21,1
37,3,48211,1,9,0,10,3,4,0,0,0,35,21,1
18,2,140164,7,7,4,1,0,4,0,0,0,40,21,1
36,2,128757,13,13,6,7,1,3,1,7298,0,36,21,0
35,2,36270,1,9,0,8,4,4,1,0,0,60,21,1
58,6,210563,1,9,6,1,2,4,0,15024,0,35,21,0
17,2,65368,7,7,4,1,0,4,0,0,0,12,21,1
44,0,160943,1,9,6,11,1,3,1,0,0,40,21,1
37,2,208358,1,9,6,8,1,4,1,0,0,40,21,0
35,2,153790,14,10,4,1,4,2,0,0,0,40,21,1
60,2,85815,1,9,6,8,1,1,1,0,0,40,21,1
54,6,125417,0,4,6,5,1,4,1,0,0,40,21,0
37,2,635913,13,13,4,4,4,3,1,0,0,60,21,0
50,2,313321,3,12,0,1,4,4,0,0,0,40,21,1
38,2,182609,13,13,6,1,1,4,1,0,0,50,2,1
45,2,109434,13,13,6,0,1,4,1,0,0,55,21,1
25,2,255004,6,6,4,8,4,4,1,0,0,40,21,1
31,2,197860,14,10,6,13,1,4,1,0,0,40,21,1
90,2,51744,1,9,4,7,4,3,1,0,2206,40,21,1
54,2,176681,1,9,6,10,1,3,1,0,0,20,21,1
53,0,140359,2,1,4,5,4,4,0,0,0,35,21,1
18,2,243313,1,9,4,1,0,4,0,0,0,40,21,1
66,5,167687,1,9,6,12,1,4,1,1409,0,50,21,1
75,2,314209,10,11,1,10,4,4,0,0,0,20,27,1
65,2,176796,1,9,0,10,4,4,0,0,0,40,21,1
35,2,538583,7,7,5,11,4,3,1,3674,0,40,21,1
41,2,130408,1,9,0,1,3,3,0,0,0,38,21,1
25,2,159732,14,10,4,10,4,4,1,0,0,42,21,1
33,2,110978,14,10,0,8,5,0,0,0,0,40,21,1
28,2,76714,12,15,4,0,4,4,1,0,0,55,21,0
59,3,268700,1,9,6,7,1,4,1,0,0,40,21,1
40,3,170525,14,10,4,10,4,4,0,0,0,38,21,1
41,2,180138,13,13,6,4,1,4,1,0,0,50,26,0
38,0,115076,9,14,6,4,1,4,1,0,0,70,21,0
23,2,115458,1,9,4,11,0,4,1,0,0,40,21,1
40,2,347890,13,13,6,0,1,4,1,0,0,40,21,0
41,5,196001,1,9,6,7,2,4,0,0,0,20,21,1
24,3,273905,3,12,6,2,1,4,1,0,0,50,21,1
38,2,179488,14,10,0,8,4,4,1,0,1741,40,21,1
58,2,236596,1,9,6,10,1,4,1,0,0,45,21,0
32,2,183916,1,9,4,7,4,4,0,0,0,34,21,1
40,2,207578,3,12,6,9,1,4,1,0,1977,60,21,0
41,2,112763,12,15,6,0,2,4,0,0,0,40,21,0
42,2,390781,13,13,6,10,2,3,0,0,0,40,21,1
59,0,171328,6,6,1,7,3,3,0,0,0,30,21,1
19,0,27382,14,10,4,10,0,4,1,0,0,40,21,1
58,2,259014,14,10,4,11,4,4,1,0,0,20,21,1
42,5,303044,1,9,6,12,1,1,1,0,0,40,15,0
20,2,117789,1,9,4,7,0,4,0,0,0,40,21,1
32,2,172579,1,9,5,7,4,4,0,0,0,30,21,1
45,2,187666,10,11,1,4,4,4,0,0,0,45,21,1
50,2,204518,0,4,0,8,4,4,1,0,0,40,21,1
36,2,150042,13,13,0,0,0,4,0,0,0,40,21,1
45,2,98092,1,9,6,1,1,4,1,0,0,60,21,1
17,2,245918,7,7,4,7,0,4,1,0,0,12,21,1
59,2,146013,14,10,6,1,1,4,1,4064,0,40,21,1
26,2,378322,7,7,6,8,1,4,1,0,0,40,21,1
37,6,257295,14,10,6,4,1,1,1,0,0,75,14,0
64,2,21174,1,9,6,4,1,4,1,0,0,40,21,0
33,2,185480,13,13,4,0,4,4,0,0,0,45,21,1
33,2,222205,1,9,6,8,2,4,0,0,0,40,21,0
61,2,69867,1,9,6,4,1,4,1,0,0,40,21,0
17,2,191260,15,5,4,7,0,4,1,1055,0,24,21,1
50,5,30653,9,14,6,12,1,4,1,2407,0,98,21,1
27,0,209109,9,14,4,0,0,4,1,0,0,35,21,1
30,2,70377,1,9,0,0,0,4,0,0,0,40,21,1
43,2,477983,1,9,6,13,1,3,1,0,0,40,21,1
44,2,170924,14,10,6,8,1,4,1,7298,0,40,21,0
35,2,190174,14,10,4,4,4,4,0,0,0,40,21,1
25,2,193787,14,10,4,9,0,4,0,0,0,40,21,1
24,2,279472,14,10,6,5,2,4,0,7298,0,48,21,0
22,2,34918,13,13,4,0,4,4,0,0,0,15,36,1
42,0,97688,14,10,6,8,1,4,1,5178,0,40,21,0
34,2,175413,3,12,0,1,3,3,0,0,0,45,21,1
60,2,173960,13,13,0,0,4,4,0,0,0,42,21,1
21,2,205759,1,9,4,13,0,4,1,0,0,40,21,1
57,4,425161,9,14,6,1,1,4,1,15024,0,40,21,0
41,2,220531,12,15,6,0,1,4,1,0,0,60,21,0
50,2,176609,14,10,0,7,4,4,1,0,0,45,21,1
25,2,371987,13,13,4,4,4,4,0,0,0,40,21,1
50,2,193884,0,4,6,8,1,4,1,0,0,40,1,1
36,2,200352,13,13,6,0,1,4,1,0,0,45,21,1
31,2,127595,1,9,0,0,4,4,0,0,0,40,21,1
29,0,220419,13,13,4,2,4,4,1,0,0,56,21,1
21,2,231931,14,10,4,1,0,4,1,0,0,45,21,1
27,2,248402,13,13,4,9,3,3,0,0,0,40,21,1
65,2,111095,1,9,6,11,1,4,1,0,0,16,21,1
37,6,57424,13,13,0,1,4,4,0,0,0,60,21,1
24,2,278130,1,9,4,8,0,4,1,0,0,40,21,1
38,2,169469,1,9,0,1,4,4,1,0,0,80,21,1
48,2,146268,13,13,6,10,1,4,1,7688,0,40,21,0
21,2,153718,14,10,4,7,4,1,0,0,0,25,21,1
31,2,217460,1,9,6,11,1,4,1,0,0,45,21,0
55,2,238638,1,9,6,1,1,4,1,4386,0,40,21,0
24,2,303296,14,10,6,10,2,1,0,0,0,40,16,1
43,2,173321,1,9,0,10,4,4,0,0,0,40,21,1
26,2,193945,3,12,4,9,4,4,1,0,0,45,21,1
46,2,83082,3,12,4,0,4,4,0,0,0,33,21,1
35,2,193815,3,12,6,10,1,4,1,0,0,40,21,0
41,6,34987,14,10,6,12,1,4,1,0,0,54,21,0
26,2,59306,13,13,4,1,4,4,1,0,0,40,21,1
34,2,142897,9,14,6,4,1,1,1,7298,0,35,4,0
36,5,205607,13,13,0,0,4,3,0,0,0,40,21,0
22,2,199698,14,10,4,1,0,4,1,0,0,15,21,1
24,2,191954,14,10,4,5,4,4,1,0,0,40,21,1
77,5,138714,14,10,6,1,1,4,1,0,0,40,21,1
22,2,399087,8,3,6,5,5,4,0,0,0,40,40,1
29,2,423158,14,10,4,9,4,4,0,0,0,40,21,1
62,2,159841,1,9,1,7,4,4,0,0,0,24,21,1
39,5,174308,1,9,6,4,1,4,1,0,0,40,21,1
43,2,50356,14,10,6,8,1,4,1,0,1485,50,21,1
35,2,186110,1,9,0,11,4,4,1,0,0,45,21,1
29,2,200381,7,7,4,4,4,4,0,0,0,40,21,1
76,5,174309,9,14,6,8,1,4,1,0,0,10,21,1
63,5,78383,1,9,6,12,1,4,1,0,0,45,21,1
43,2,187728,14,10,6,0,2,4,0,0,1887,50,21,0
58,5,321171,1,9,6,13,1,4,1,0,0,40,21,1
66,2,127921,1,9,4,11,4,4,1,2050,0,55,21,1
41,2,206565,14,10,4,8,4,3,1,0,0,45,21,1
26,2,224563,13,13,4,10,4,4,1,0,0,40,21,1
47,2,178686,10,11,4,7,4,4,1,0,0,40,21,1
55,0,98545,6,6,6,10,1,4,1,0,0,40,21,1
53,2,242606,1,9,6,11,1,4,1,0,0,40,21,1
17,2,270942,8,3,4,7,5,4,1,0,0,48,40,1
30,2,94235,1,9,4,8,5,4,1,0,0,40,21,1
49,2,71195,9,14,4,0,4,4,1,0,0,60,21,1
19,2,104112,1,9,4,1,3,3,1,0,0,30,25,1
45,2,261192,1,9,6,7,1,3,1,0,0,40,21,1
26,2,94936,3,12,4,1,4,4,1,0,0,40,21,1
38,2,296478,10,11,6,8,1,4,1,7298,0,40,21,0
36,3,119272,1,9,6,2,1,4,1,7298,0,40,21,0
33,2,85043,1,9,4,12,4,4,1,0,0,20,21,1
22,3,293364,14,10,4,2,0,3,0,0,0,40,21,1
43,5,241895,13,13,4,1,4,4,1,0,0,42,21,1
56,2,101128,3,12,3,7,4,4,1,0,0,25,26,1
31,2,156464,13,13,4,0,0,4,1,0,0,25,21,1
33,2,117963,13,13,6,4,1,4,1,0,0,40,21,0
26,2,192262,1,9,6,7,1,4,1,0,0,40,21,1
33,2,111363,13,13,6,4,1,4,1,0,0,40,21,0
46,0,329752,7,7,6,11,1,4,1,0,0,30,21,1
38,4,95432,1,9,6,10,1,4,1,0,0,40,21,0
65,2,161400,7,7,1,7,3,0,1,0,0,40,21,1
40,2,96129,10,11,6,9,1,4,1,0,0,40,21,0
42,2,111949,1,9,6,10,2,4,0,0,0,35,21,1
26,5,117125,15,5,6,8,1,4,1,0,0,40,38,1
36,2,348022,6,6,6,7,2,4,0,0,0,24,21,1
62,2,270092,9,14,6,0,1,4,1,0,0,40,21,0
43,2,180609,13,13,6,11,1,4,1,0,0,45,21,1
43,2,174575,13,13,0,4,4,4,1,0,1564,45,21,0
22,2,410439,1,9,3,1,4,4,1,0,0,55,21,1
28,2,92262,1,9,6,8,1,4,1,0,0,40,21,1
56,5,183081,14,10,6,1,1,4,1,0,0,45,21,1
22,2,362589,3,12,4,1,4,4,0,0,0,15,21,1
57,2,212448,13,13,0,4,4,4,0,0,0,45,21,0
39,2,481060,1,9,0,1,3,4,0,0,0,40,21,1
26,4,185885,14,10,4,10,3,4,0,0,0,15,21,1
17,2,89821,7,7,4,7,0,4,1,0,0,10,21,1
40,3,184018,10,11,6,5,1,4,1,0,0,38,21,0
45,2,256649,1,9,6,5,1,3,1,0,0,40,21,1
44,2,160323,1,9,4,8,4,3,1,0,0,40,21,1
20,0,350845,14,10,4,10,0,4,0,0,0,10,21,1
33,2,267404,1,9,6,8,2,4,0,0,0,40,21,1
23,2,35633,14,10,4,1,4,4,1,0,0,40,21,1
46,5,80914,9,14,0,4,4,4,1,0,0,30,21,1
38,2,172927,1,9,6,1,1,4,1,0,0,50,21,1
54,2,174319,1,9,0,11,4,4,1,0,0,40,21,1
46,2,214955,8,3,0,8,4,4,0,0,2339,45,21,1
25,2,344991,14,10,6,8,1,4,1,0,0,40,21,1
46,2,108699,14,10,0,1,4,4,0,0,0,40,21,1
36,0,117312,14,10,6,11,2,4,0,0,0,40,21,1
23,2,396099,1,9,4,7,4,4,0,0,0,25,21,1
29,2,134152,1,9,5,5,4,4,1,0,0,40,21,1
44,2,162028,14,10,6,10,2,4,0,0,2415,6,21,0
19,2,25429,14,10,4,10,0,4,0,0,0,16,21,1
19,2,232392,1,9,4,7,5,4,0,0,0,40,21,1
35,2,220098,1,9,6,7,2,4,0,0,0,40,21,0
27,2,301302,13,13,4,8,4,4,1,0,0,50,21,1
46,5,277946,3,12,5,8,4,4,1,0,0,40,21,1
34,2,196164,1,9,4,7,4,4,0,0,0,35,21,1
44,2,115562,14,10,6,9,1,4,1,0,0,40,21,1
45,2,96975,14,10,0,13,3,4,0,0,0,40,21,1
25,2,86872,13,13,6,4,1,4,1,0,0,55,21,0
52,6,132178,13,13,6,4,1,4,1,0,0,50,21,0
20,2,416103,14,10,4,13,0,4,1,0,0,40,21,1
28,2,108574,14,10,4,7,4,4,0,0,0,40,21,1
50,3,288353,13,13,6,2,1,4,1,0,0,40,21,0
34,2,227689,10,11,0,9,4,4,0,0,0,64,21,1
28,2,166481,0,4,6,13,1,0,1,0,2179,40,19,1
41,2,445382,9,14,6,4,1,4,1,0,1977,65,21,0
28,2,110145,1,9,6,10,1,4,1,0,0,40,21,1
46,5,317253,1,9,6,8,1,4,1,0,0,25,21,1
32,2,364657,14,10,6,4,1,4,1,0,0,50,21,1
41,0,42346,14,10,0,7,4,3,0,0,0,24,21,1
24,2,241951,1,9,4,13,3,3,0,0,0,40,21,1
33,2,118500,14,10,0,4,3,4,0,0,0,40,21,1
46,2,188386,5,16,6,4,1,4,1,15024,0,60,21,0
31,3,1033222,14,10,6,5,1,4,1,0,0,40,21,1
35,2,92440,11,8,0,8,4,4,1,0,0,50,21,0
52,2,190762,4,2,6,5,1,4,1,0,0,40,40,1
30,2,426017,7,7,4,7,0,4,0,0,0,19,21,1
34,0,243867,7,7,5,5,4,3,1,0,0,40,21,1
34,3,240283,1,9,0,11,3,4,0,0,0,40,21,1
20,2,61777,14,10,6,1,1,4,1,0,0,30,21,1
17,2,175024,7,7,4,13,0,4,1,2176,0,18,21,1
32,3,92003,13,13,6,4,2,4,0,0,0,40,21,0
29,2,188401,1,9,0,12,4,4,1,0,0,40,21,1
33,2,228528,6,6,4,8,3,4,0,0,0,35,21,1
25,2,133373,1,9,6,11,1,4,1,0,0,60,21,1
36,4,255191,9,14,4,0,4,4,1,0,1408,40,21,1
23,2,204653,1,9,4,13,4,4,1,0,0,72,0,1
63,6,222289,1,9,6,4,1,4,1,0,0,40,21,0
47,0,287480,9,14,6,0,1,4,1,0,0,40,21,1
40,5,204116,13,13,3,0,4,4,0,2174,0,40,21,1
30,2,29662,3,12,6,7,2,4,0,0,0,25,21,0
27,2,116358,14,10,4,8,0,1,1,0,1980,40,34,1
33,2,208405,9,14,6,0,1,4,1,0,0,50,21,0
34,0,284843,1,9,4,12,4,3,1,594,0,60,21,1
34,0,117018,14,10,4,2,4,4,0,0,0,40,21,1
23,2,81281,14,10,6,10,1,4,1,0,0,40,21,1
42,0,340148,14,10,6,10,2,4,0,0,0,40,21,1
29,2,363425,13,13,4,0,4,4,1,0,0,40,21,1
45,2,45857,1,9,0,10,4,4,0,0,0,28,21,1
24,4,191073,1,9,4,3,0,4,1,0,0,40,21,1
44,2,116632,14,10,6,0,1,4,1,0,0,40,21,0
27,2,405855,15,5,4,8,5,4,1,0,0,40,40,1
20,2,298227,14,10,4,1,4,4,1,0,0,35,21,1
44,2,290521,1,9,1,4,3,3,0,0,0,40,21,1
51,2,56915,1,9,6,8,1,2,1,0,0,40,21,1
20,2,146538,1,9,6,5,1,4,1,0,0,40,21,1
19,2,206399,1,9,4,5,0,3,0,0,0,40,21,1
45,6,197332,14,10,6,8,1,4,1,0,0,55,21,0
60,2,245062,1,9,6,8,1,4,1,0,0,40,21,0
44,5,234885,1,9,6,1,2,4,0,0,0,40,21,0
40,2,72887,10,11,6,5,1,1,1,0,0,40,21,0
30,2,180374,1,9,6,4,2,4,0,0,0,40,21,1
38,2,351299,14,10,6,11,1,3,1,0,0,50,21,1
23,2,54012,1,9,6,11,1,4,1,0,0,60,21,1
44,2,116632,3,12,4,12,0,4,1,0,0,40,21,1
54,0,288825,1,9,6,11,1,3,1,0,0,40,21,1
32,2,132601,13,13,6,0,1,4,1,0,0,50,21,1
50,2,193374,4,2,3,8,3,4,1,0,0,40,21,1
24,2,170070,13,13,4,9,4,4,0,0,0,20,21,1
37,2,126708,1,9,6,10,2,4,0,0,0,60,21,1
52,2,35598,1,9,0,11,3,4,1,0,0,40,21,1
38,2,33983,14,10,6,11,1,4,1,0,0,40,21,1
49,2,192776,9,14,6,4,1,4,1,0,1977,45,21,0
30,2,118551,13,13,6,9,2,4,0,0,0,16,21,0
60,2,201965,14,10,4,0,3,4,1,0,0,40,21,0
35,2,285020,1,9,4,8,4,4,1,0,0,40,21,1
30,2,303990,1,9,4,11,4,4,1,0,0,60,21,1
67,2,49401,10,11,0,7,4,4,0,0,0,24,21,1
46,2,279196,13,13,4,8,4,4,0,0,0,40,21,1
17,2,211870,15,5,4,7,4,4,1,0,0,6,21,1
22,2,281432,14,10,4,13,0,4,1,0,0,30,21,1
27,2,161155,6,6,4,7,4,4,1,0,0,40,21,1
23,2,197904,1,9,4,7,3,4,0,0,0,35,21,1
33,2,111746,3,12,6,8,1,4,1,0,0,45,38,1
